Restaurant_id,name,urls,ratings,price for one,cuisine
R277,Rajasthani Taj Restaurant,https://www.zomato.com/bangalore/rajasthani-taj-restaurant-btm-bangalore/order,3,200,"North Indian, Chinese, Street Food, Rajasthani"
R278,Indiana Burgers,https://www.zomato.com/bangalore/indiana-burgers-vasanth-nagar-bangalore/order,3.6,200,"Burger, Rolls, Beverages, Desserts, Shake"
R279,Lassi Corner,https://www.zomato.com/bangalore/lassi-corner-koramangala-8th-block-bangalore/order,3.7,200,"Beverages, Juices, Shake, Desserts, Ice Cream, Sandwich, Fast Food, Street Food"
R280,Kolkata Famous Kati Roll,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-1-hbr-layout-bangalore/order,3.9,200,Rolls
R281,Apsara Ice Creams,https://www.zomato.com/bangalore/apsara-ice-creams-koramangala-5th-block-bangalore/order,4.5,200,"Ice Cream, Desserts"
R282,Vaibhav Biryani,https://www.zomato.com/bangalore/vaibhav-biryani-rajajinagar-bangalore/order,4.3,200,Biryani
R283,Kunafa World,https://www.zomato.com/bangalore/kunafa-world-frazer-town-bangalore/order,4.4,200,Desserts
R284,Melting Cheese,https://www.zomato.com/bangalore/melting-cheese-basavanagudi-bangalore/order,3.5,200,"Pizza, Sandwich, Fast Food, Street Food"
R285,Habibi Falafel,https://www.zomato.com/bangalore/habibi-falafel-indiranagar-bangalore/order,4.2,150,"Middle Eastern, Fast Food, Bakery, Beverages"
R286,Biryani Pot,https://www.zomato.com/bangalore/biryani-pot-btm/order,3.9,150,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps, Sichuan"
